track_id,t_start,t_end,duration,n_points,f_mean,f_median,f_std,f_slope,f_smooth,doa_mean,doa_median,doa_disp,doa_slope,doa_outlier_count,doa_outlier_ratio,doa_motion_ok,doa_noise_ok,doa_prefilter_keep,cluster_id_final,pair_count,support_count,track_support_ratio,track_role
61,148.0,313.0,165.0,166,183.3346385542168,183.35,0.02306725541992682,-0.000384663313023475,0.0003030303030301997,47.030243850224565,43.59310897362276,14.471180131429511,0.2847621274111723,6,0.03614457831325301,True,True,True,0,44,14,0.3181818181818182,core
63,157.0,361.0,204.0,205,204.64682926829275,204.65,0.05803443151206033,0.0006418631861933457,0.005147058823529189,53.715991140751406,51.24992380241591,13.89249656313474,0.2346443122320259,7,0.03414634146341464,True,True,True,0,44,12,0.2727272727272727,core
64,161.0,335.0,174.0,166,340.958734939759,340.95,0.062326111710115144,0.0010410764585876853,0.005757575757577067,43.84828675071598,44.30046537876594,10.498034033361975,0.22100471953986353,0,0.0,True,True,True,0,44,12,0.2727272727272727,core
65,169.0,236.0,67.0,68,245.8492647058823,245.85,0.006018641744021807,1.0497385196966247e-05,0.0014925373134323267,42.312746745127555,40.9503611379082,5.710701342758069,0.233530854946206,2,0.029411764705882353,True,True,True,-1,44,0,0.0,isolated
66,170.0,324.0,154.0,132,171.5776515151515,171.6,0.024858991681097283,-7.3997807724959e-05,0.004198473282441316,53.41503937945418,51.25123900870942,14.2733882387234,0.32349681310249556,3,0.022727272727272728,True,True,True,0,44,11,0.25,core
67,173.0,281.0,108.0,109,173.5798165137614,173.6,0.02453163661856216,0.00018302288944514443,0.0018518518518512203,47.76875961107128,51.14761715179862,11.884383436241322,0.35829853384931887,2,0.01834862385321101,True,True,True,0,44,12,0.2727272727272727,core
68,173.0,232.0,59.0,60,241.77249999999992,241.75,0.024874685927671152,0.0012239510975271509,0.00254237288135651,42.56890333535571,41.30155506097921,6.635456563457889,0.34648627175178065,0,0.0,True,True,True,-1,44,0,0.0,isolated
69,174.0,259.0,85.0,86,344.5244186046512,344.5,0.024993238674662282,0.0002698240483046964,0.004705882352942246,37.10983053636513,37.20391452684906,6.899416993647012,0.2957955676122301,0,0.0,True,True,True,-1,44,0,0.0,isolated
72,246.0,314.0,68.0,69,245.92246376811602,245.9,0.02487101782858646,0.0010759956156374153,0.000735294117646808,59.043954493726325,58.0286548219622,4.730425020763827,0.12655322776600728,1,0.014492753623188406,True,True,True,-1,44,0,0.0,isolated
74,253.0,303.0,50.0,51,124.71666666666665,124.7,0.053930480546957975,-0.002271493212669791,0.009999999999999431,45.08871743752042,48.47646491221749,22.417025093944826,0.48564221896975096,5,0.09803921568627451,True,True,True,-1,44,0,0.0,isolated
75,258.0,341.0,83.0,84,272.8785714285715,272.9,0.08319716766502447,0.0009881542978636695,0.009638554216868291,61.500335531146035,60.2485523431312,6.56756914193335,0.14934187517718653,0,0.0,True,True,True,-1,44,0,0.0,isolated
78,271.0,317.0,46.0,47,344.59042553191495,344.6,0.019673661711607594,0.0009886679000914403,0.0010869565217393776,52.38197961078262,53.755454478536365,3.365563691262978,-0.12438660375302761,0,0.0,True,True,True,-1,44,0,0.0,isolated
79,278.0,329.0,51.0,52,193.24519230769232,193.25,0.038304969782773805,-0.0006851361734817957,0.003921568627451315,67.65575018255619,69.30115338864515,7.334227634961217,0.12098226877269856,1,0.019230769230769232,True,True,True,-1,44,0,0.0,isolated
80,290.0,331.0,41.0,42,229.77738095238098,229.8,0.02488636304806146,-0.00025524673851288777,0.004878048780488914,68.7411372203529,68.89805991475131,5.313206331301747,0.39582915561692894,0,0.0,True,True,True,-1,44,0,0.0,isolated
82,318.0,387.0,69.0,70,375.05071428571426,375.05,0.005933302759228546,2.536960895769623e-05,0.0014492753623191702,48.9976666703859,53.42203473535585,14.692839680217796,-0.32777683133958097,9,0.12857142857142856,True,True,True,-1,44,0,0.0,isolated
92,368.0,417.0,49.0,50,59.25399999999999,59.25,0.045650848842050715,-0.0024249699879951027,0.004081632653060992,9.075003497879065,12.241287111310728,15.119724742336798,-0.8959685877469327,13,0.26,True,True,True,-1,44,0,0.0,isolated
